,,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,55%,60%,65%,70%,75%,80%,85%,90%,95%,100%
,%expl.,2.34,7.68,13.03,18.26,23.61,27.62,32.63,37.97,43.32,48.66,52.45,57.91,63.25,68.6,73.83,77.84,83.18,88.53,93.88,99.22
SLL,#valid,1322,2644,3966,5288,6610,7932,9255,10577,11899,13221,14543,15865,17187,18510,19832,21154,22476,23798,25120,26443
size=9,#expl.,26273,52605,78963,105348,131658,158017,184413,210741,237094,263468,289827,316207,342565,368961,395323,421706,448093,474480,500874,527300
,%expl.,4.98,9.98,14.97,19.98,24.97,29.97,34.97,39.97,44.96,49.96,54.96,59.97,64.96,69.97,74.97,79.97,84.98,89.98,94.99,100.0
SLL,#valid,7120,14241,21362,28483,35604,42725,49846,56967,64088,71209,78329,85450,92571,99692,106813,113934,121055,128176,135297,142418
size=10,#expl.,156055,312278,468571,624873,781097,937396,1093697,1249920,1406223,1562574,1718867,1875196,2031540,2187858,2344224,2500616,2657006,2813401,2969853,3126339
,%expl.,4.99,9.99,14.99,19.99,24.98,29.98,34.98,39.98,44.98,49.98,54.98,59.98,64.98,69.98,74.98,79.99,84.99,89.99,94.99,100.0
BST,#valid,9,18,28,37,47,56,65,75,84,94,103,112,122,131,141,150,159,169,178,188
size=5,#expl.,23,57,134,562,1110,1231,1884,2719,2868,2931,3397,3949,4066,4494,5146,5696,5794,6580,7302,8196
,%expl.,0.28,0.69,1.61,6.76,13.36,14.82,22.68,32.73,34.52,35.28,40.89,47.53,48.94,54.09,61.94,68.56,69.74,79.2,87.89,98.65
BST,#valid,2591,5182,7773,10364,12955,15546,18137,20728,23319,25911,28502,31093,33684,36275,38866,41457,44048,46639,49230,51822
size=9,#expl.,920346,2334835,3404450,4769693,5999425,7714039,9092759,10175362,11511794,12660073,14027570,15500088,16988306,18189357,19496402,20956103,22649941,24122758,25749600,27992908
,%expl.,3.29,8.34,12.16,17.04,21.43,27.55,32.48,36.34,41.12,45.22,50.1,55.36,60.68,64.97,69.64,74.85,80.9,86.16,91.97,99.99
BST,#valid,11159,22319,33478,44638,55797,66957,78116,89276,100435,111595,122755,133914,145074,156233,167393,178552,189712,200871,212031,223191
size=10,#expl.,8060829,18751468,27389374,38086048,48269265,60942434,70625068,81253997,89850130,100634992,110233065,122350297,132782848,142861855,152594789,164730764,176398825,186971870,200288478,216672294
,%expl.,3.72,8.65,12.64,17.58,22.28,28.13,32.59,37.5,41.47,46.44,50.87,56.47,61.28,65.93,70.42,76.02,81.41,86.29,92.43,100.0
