,,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,55%,60%,65%,70%,75%,80%,85%,90%,95%,100%
,%valid,7.02,10.96,15.58,22.95,28.42,34.93,39.9,42.98,47.95,53.77,58.05,62.84,67.12,73.63,77.57,82.53,87.16,92.12,97.26,100.0
DAG,#expl.,10244,20489,30733,40978,51223,61467,71712,81957,92201,102446,112691,122935,133180,143425,153669,163914,174159,184403,194648,204893
size=6,#valid,1205,2443,3414,4475,5469,6502,7519,8506,9474,10469,11440,12452,13418,14351,15282,16154,17009,17932,18831,19696
,%valid,6.12,12.4,17.33,22.72,27.77,33.01,38.18,43.19,48.1,53.15,58.08,63.22,68.13,72.86,77.59,82.02,86.36,91.04,95.61,100.0
DAG,#expl.,1006406,2012812,3019218,4025625,5032031,6038437,7044844,8051250,9057656,10064063,11070469,12076875,13083281,14089688,15096094,16102500,17108907,18115313,19121719,20128126
size=7,#valid,86649,166590,246968,321705,399650,470770,540610,611183,678636,746509,819507,887184,954913,1026085,1093269,1159613,1221441,1285602,1349086,1410723
,%valid,6.14,11.81,17.51,22.8,28.33,33.37,38.32,43.32,48.11,52.92,58.09,62.89,67.69,72.73,77.5,82.2,86.58,91.13,95.63,100.0
DS,#expl.,20692,41385,62078,82771,103463,124156,144849,165542,186234,206927,227620,248313,269005,289698,310391,331084,351776,372469,393162,413855
size=5,#valid,1902,4416,6951,8413,8870,10659,12691,14612,16521,18867,21659,24584,27061,29977,32078,34349,37126,38948,40397,41546
,%valid,4.58,10.63,16.73,20.25,21.35,25.66,30.55,35.17,39.77,45.41,52.13,59.17,65.14,72.15,77.21,82.68,89.36,93.75,97.23,100.0
DS,#expl.,1671831,3343663,5015495,6687327,8359159,10030991,11702823,13374655,15046487,16718319,18390151,20061983,21733815,23405647,25077479,26749311,28421143,30092975,31764807,33436639
size=6,#valid,136080,321529,435640,479009,598187,753812,888331,1012846,1183244,1396351,1563194,1756953,1943984,2117395,2307141,2467695,2654220,2793999,2890145,2967087
,%valid,4.59,10.84,14.68,16.14,20.16,25.41,29.94,34.14,39.88,47.06,52.68,59.21,65.52,71.36,77.76,83.17,89.46,94.17,97.41,100.0
HA,#expl.,445,891,1337,1783,2229,2674,3120,3566,4012,4458,4903,5349,5795,6241,6687,7132,7578,8024,8470,8916
size=5,#valid,35,91,116,231,291,327,359,393,522,671,719,768,819,876,934,1034,1180,1389,1578,1919
,%valid,1.82,4.74,6.04,12.04,15.16,17.04,18.71,20.48,27.2,34.97,37.47,40.02,42.68,45.65,48.67,53.88,61.49,72.38,82.23,100.0
HA,#expl.,2573024,5146048,7719072,10292096,12865120,15438144,18011168,20584192,23157216,25730240,28303264,30876288,33449312,36022336,38595360,41168384,43741408,46314432,48887456,51460480
size=9,#valid,175311,361744,742476,914259,1031236,1149363,1819143,2482722,2673380,2870565,3065949,3266905,3475361,3770178,4625926,5540363,6648727,7624866,8905597,10391382
,%valid,1.69,3.48,7.15,8.8,9.92,11.06,17.51,23.89,25.73,27.62,29.5,31.44,33.44,36.28,44.52,53.32,63.98,73.38,85.7,100.0
HA,#expl.,29165870,58331740,87497610,116663481,145829351,174995221,204161091,233326962,262492832,291658702,320824572,349990443,379156313,408322183,437488053,466653924,495819794,524985664,554151534,583317405
size=10,#valid,1940381,3747166,7007787,8479246,9654237,16528020,25591517,27720177,29851730,32029719,34196273,36447910,38747033,44574208,53692280,64466303,74209343,84966572,97702527,111511015
,%valid,1.74,3.36,6.28,7.6,8.66,14.82,22.95,24.86,26.77,28.72,30.67,32.69,34.75,39.97,48.15,57.81,66.55,76.2,87.62,100.0
SLL,#expl.,25,51,77,103,129,155,181,207,233,259,284,310,336,362,388,414,440,466,492,518
size=5,#valid,0,3,5,8,11,14,15,18,21,24,26,29,31,35,37,40,43,46,49,52
,%valid,0.0,5.77,9.62,15.38,21.15,26.92,28.85,34.62,40.38,46.15,50.0,55.77,59.62,67.31,71.15,76.92,82.69,88.46,94.23,100.0
SLL,#expl.,14466,28932,43398,57864,72331,86797,101263,115729,130195,144662,159128,173594,188060,202526,216993,231459,245925,260391,274857,289324
size=9,#valid,1002,2018,3063,4140,5148,6192,7259,8281,9318,10380,11439,12509,13555,14629,15677,16759,17844,18931,20027,21147
,%valid,4.74,9.54,14.48,19.58,24.34,29.28,34.33,39.16,44.06,49.08,54.09,59.15,64.1,69.18,74.13,79.25,84.38,89.52,94.7,100.0
SLL,#expl.,85108,170217,255325,340434,425542,510651,595759,680868,765976,851085,936194,1021302,1106411,1191519,1276628,1361736,1446845,1531953,1617062,1702171
size=10,#valid,5554,11207,16943,22738,28396,34140,39927,45580,51334,57177,62940,68747,74553,80341,86188,92096,97986,103879,109891,115975
,%valid,4.79,9.66,14.61,19.61,24.48,29.44,34.43,39.3,44.26,49.3,54.27,59.28,64.28,69.27,74.32,79.41,84.49,89.57,94.75,100.0
FH,#expl.,8218,16436,24654,32873,41091,49309,57527,65746,73964,82182,90400,98619,106837,115055,123273,131492,139710,147928,156146,164365
size=5,#valid,2272,4130,5741,8237,11513,16382,20742,23602,25375,28115,32152,34259,37327,39800,41937,43545,46097,48503,50721,52281
,%valid,4.35,7.9,10.98,15.76,22.02,31.33,39.67,45.14,48.54,53.78,61.5,65.53,71.4,76.13,80.21,83.29,88.17,92.77,97.02,100.0
FH,#expl.,240464,480929,721394,961858,1202323,1442788,1683252,1923717,2164182,2404647,2645111,2885576,3126041,3366505,3606970,3847435,4087899,4328364,4568829,4809294
size=6,#valid,50446,94037,139509,205866,321884,458120,584804,630052,690040,818698,872997,964073,1029808,1090012,1154998,1208878,1288896,1348679,1414288,1474186
,%valid,3.42,6.38,9.46,13.96,21.83,31.08,39.67,42.74,46.81,55.54,59.22,65.4,69.86,73.94,78.35,82.0,87.43,91.49,95.94,100.0
FH,#expl.,8799046,17598093,26397140,35196187,43995234,52794281,61593327,70392374,79191421,87990468,96789515,105588562,114387609,123186655,131985702,140784749,149583796,158382843,167181890,175980937
size=7,#valid,1438928,2890324,4318564,6933153,11967781,16964658,19076592,20856518,25160746,27254529,30280715,32659345,34655972,36804681,38818921,41260736,43418696,45564427,47539293,49698272
,%valid,2.9,5.82,8.69,13.95,24.08,34.14,38.38,41.97,50.63,54.84,60.93,65.72,69.73,74.06,78.11,83.02,87.36,91.68,95.66,100.0
BST,#expl.,307,615,923,1231,1538,1846,2154,2462,2769,3077,3385,3693,4000,4308,4616,4924,5231,5539,5847,6155
size=5,#valid,2,5,7,9,11,13,15,17,19,21,23,25,27,30,32,34,36,38,40,42
,%valid,4.76,11.9,16.67,21.43,26.19,30.95,35.71,40.48,45.24,50.0,54.76,59.52,64.29,71.43,76.19,80.95,85.71,90.48,95.24,100.0
BST,#expl.,1004315,2008630,3012945,4017260,5021575,6025890,7030205,8034520,9038835,10043150,11047465,12051780,13056095,14060410,15064725,16069040,17073355,18077670,19081985,20086300
size=9,#valid,244,486,730,973,1216,1459,1702,1945,2188,2431,2674,2918,3161,3404,3647,3890,4133,4377,4620,4862
,%valid,5.02,10.0,15.01,20.01,25.01,30.01,35.01,40.0,45.0,50.0,55.0,60.02,65.01,70.01,75.01,80.01,85.01,90.02,95.02,100.0
BST,#expl.,7772793,15545587,23318380,31091174,38863968,46636761,54409555,62182348,69955142,77727936,85500729,93273523,101046316,108819110,116591904,124364697,132137491,139910284,147683078,155455872
size=10,#valid,840,1680,2520,3360,4200,5039,5879,6719,7558,8399,9238,10079,10918,11758,12598,13437,14278,15117,15957,16796
,%valid,5.0,10.0,15.0,20.0,25.01,30.0,35.0,40.0,45.0,50.01,55.0,60.01,65.0,70.0,75.01,80.0,85.01,90.0,95.0,100.0
