size=5,dist.,924961065819,940448490819,947051359569,954965022069,972138147069,995669997069,1028090115819,1040539797069,1068008284569,1068008284569
,%space,84.19%,85.6%,86.2%,86.92%,88.49%,90.63%,93.58%,94.71%,97.21%,97.21%
DJS,#valid,296708,593417,890126,1186834,1483543,1780252,2076960,2373669,2670378,2967087
size=6,dist.,4324804967604809,4364517502525385,4381000954791113,4429535100842441,4519456378375241,4627170728703497,4687667118989129,4773165200382665,4871375030482697,4871375030482697
,%space,86.91%,87.7%,88.03%,89.01%,90.82%,92.98%,94.2%,95.92%,97.89%,97.89%
HA,#valid,191,383,575,767,959,1151,1343,1535,1727,1919
size=5,dist.,368578,402780,486486,500983,596549,601483,602194,604298,604792,604792
,%space,60.92%,66.57%,80.4%,82.8%,98.59%,99.41%,99.53%,99.88%,99.96%,99.96%
HA,#valid,11756,23512,35268,47024,58781,70537,82293,94049,105805,117562
size=7,dist.,227700315,262860822,267211476,304303160,305312844,305492347,305895864,305989473,306080301,306080301
,%space,74.39%,85.87%,87.29%,99.41%,99.74%,99.8%,99.93%,99.96%,99.99%,99.99%
HA,#valid,100507,201015,301522,402030,502537,603045,703552,804060,904567,1005075
size=8,dist.,6288718300,7095842810,7182521310,7199411130,8077542323,8087773422,8095745254,8097971834,8099555142,8099555142
,%space,77.64%,87.6%,88.67%,88.88%,99.72%,99.85%,99.95%,99.97%,99.99%,99.99%
SLL,#valid,5,10,15,20,26,31,36,41,46,52
size=5,dist.,14465209661,14465226461,14465226818,14466033197,14466049654,14466050011,14466066461,14466066811,14466067161,14466067161
,%space,14.93%,14.93%,14.93%,14.93%,14.93%,14.93%,14.93%,14.93%,14.93%,14.93%
SLL,#valid,2114,4229,6344,8458,10573,12688,14802,16917,19032,21147
size=9,dist.,684518907497619224195,684523049933029285682,684523050508349353202,684523084745749504431,684523085033478074043,684523119263745918013,684523119549096725370,684523119834408551730,684523119841443420461,684523119841443420461
,%space,9.25%,9.25%,9.25%,9.25%,9.25%,9.25%,9.25%,9.25%,9.25%,9.25%
SLL,#valid,11597,23195,34792,46390,57987,69585,81182,92780,104377,115975
