,,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,55%,60%,65%,70%,75%,80%,85%,90%,95%,100%
,%valid,6.58,10.53,15.79,21.05,26.32,30.26,35.53,40.79,46.05,51.32,55.26,60.53,65.79,71.05,75.0,80.26,85.53,90.79,94.74,100.0
SLL,#expl.,26365,52731,79096,105462,131827,158193,184558,210924,237289,263655,290021,316386,342752,369117,395483,421848,448214,474579,500945,527311
size=9,#valid,1326,2650,3972,5293,6618,7940,9262,10586,11908,13230,14552,15873,17196,18517,19840,21161,22482,23802,25123,26443
,%valid,5.01,10.02,15.02,20.02,25.03,30.03,35.03,40.03,45.03,50.03,55.03,60.03,65.03,70.03,75.03,80.02,85.02,90.01,95.01,100.0
SLL,#expl.,156317,312635,468952,625270,781587,937905,1094222,1250540,1406857,1563175,1719493,1875810,2032128,2188445,2344763,2501080,2657398,2813715,2970033,3126351
size=10,#valid,7131,14257,21379,28501,35626,42748,49869,56995,64116,71236,78357,85477,92597,99718,106837,113955,121072,128190,135305,142418
,%valid,5.01,10.01,15.01,20.01,25.02,30.02,35.02,40.02,45.02,50.02,55.02,60.02,65.02,70.02,75.02,80.01,85.01,90.01,95.01,100.0
BST,#expl.,415,830,1246,1661,2077,2492,2907,3323,3738,4154,4569,4984,5400,5815,6231,6646,7061,7477,7892,8308
size=5,#valid,33,40,56,63,66,73,87,102,109,125,132,135,142,159,166,169,176,181,186,188
,%valid,17.55,21.28,29.79,33.51,35.11,38.83,46.28,54.26,57.98,66.49,70.21,71.81,75.53,84.57,88.3,89.89,93.62,96.28,98.94,100.0
BST,#expl.,1399836,2799673,4199509,5599346,6999182,8399019,9798855,11198692,12598528,13998365,15398201,16798038,18197874,19597711,20997547,22397384,23797220,25197057,26596893,27996730
size=9,#valid,3612,6426,9496,12187,14590,16850,19879,22819,25799,28454,30976,33160,36312,39004,41525,43546,46281,48433,50364,51822
,%valid,6.97,12.4,18.32,23.52,28.15,32.52,38.36,44.03,49.78,54.91,59.77,63.99,70.07,75.27,80.13,84.03,89.31,93.46,97.19,100.0
BST,#expl.,10834045,21668090,32502136,43336181,54170227,65004272,75838318,86672363,97506409,108340454,119174499,130008545,140842590,151676636,162510681,173344727,184178772,195012818,205846863,216680909
size=10,#valid,14140,26244,39267,50751,61528,71480,84557,96243,108932,121123,131356,141698,154349,166377,176929,186941,197798,207065,216679,223191
,%valid,6.34,11.76,17.59,22.74,27.57,32.03,37.89,43.12,48.81,54.27,58.85,63.49,69.16,74.54,79.27,83.76,88.62,92.77,97.08,100.0
