,,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,55%,60%,65%,70%,75%,80%,85%,90%,95%,100%
,%expl.,3.81,8.72,14.28,17.79,22.16,25.83,29.78,34.99,42.18,46.57,52.87,57.1,60.85,66.89,71.73,76.28,83.26,87.38,93.0,98.58
DAG,#valid,984,1969,2954,3939,4924,5908,6893,7878,8863,9848,10832,11817,12802,13787,14772,15756,16741,17726,18711,19696
size=6,#expl.,8590,16404,25620,35835,45732,55726,65215,75809,85521,96415,106428,116299,127058,136854,147992,159288,170554,182050,193295,204730
,%expl.,4.19,8.01,12.5,17.49,22.32,27.2,31.83,37.0,41.74,47.06,51.94,56.76,62.01,66.79,72.23,77.74,83.24,88.85,94.34,99.92
DAG,#valid,70536,141072,211608,282144,352680,423216,493753,564289,634825,705361,775897,846433,916969,987506,1058042,1128578,1199114,1269650,1340186,1410723
size=7,#expl.,797235,1685222,2567273,3473611,4432878,5331449,6380523,7369823,8405335,9452818,10474892,11468170,12518712,13531835,14569060,15631731,16744230,17876444,18979451,20127710
,%expl.,3.96,8.37,12.75,17.26,22.02,26.49,31.7,36.61,41.76,46.96,52.04,56.98,62.2,67.23,72.38,77.66,83.19,88.81,94.29,100.0
DS,#valid,2077,4154,6231,8309,10386,12463,14541,16618,18695,20773,22850,24927,27004,29082,31159,33236,35314,37391,39468,41546
size=5,#expl.,22821,40335,54541,79789,122170,141328,164062,186909,204549,220598,235052,251604,268701,284086,299558,319308,339211,353609,378195,413836
,%expl.,5.51,9.75,13.18,19.28,29.52,34.15,39.64,45.16,49.43,53.3,56.8,60.8,64.93,68.64,72.38,77.15,81.96,85.44,91.38,100.0
DS,#valid,148354,296708,445063,593417,741771,890126,1038480,1186834,1335189,1483543,1631897,1780252,1928606,2076960,2225315,2373669,2522023,2670378,2818732,2967087
size=6,#expl.,1816450,3119374,5473894,8259375,9937302,11746846,13533077,15081621,16309631,17636959,18960712,20225323,21603168,23033199,24212454,25746383,27431710,28516737,30506625,33436610
,%expl.,5.43,9.33,16.37,24.7,29.72,35.13,40.47,45.11,48.78,52.75,56.71,60.49,64.61,68.89,72.41,77.0,82.04,85.29,91.24,100.0
HA,#valid,95,191,287,383,479,575,671,767,863,959,1055,1151,1247,1343,1439,1535,1631,1727,1823,1919
size=5,#expl.,937,1571,2196,3427,3930,4171,4448,5336,6142,6834,7177,7508,7707,7853,8191,8397,8551,8687,8802,8916
,%expl.,10.51,17.62,24.63,38.44,44.08,46.78,49.89,59.85,68.89,76.65,80.5,84.21,86.44,88.08,91.87,94.18,95.91,97.43,98.72,100.0
HA,#valid,519569,1039138,1558707,2078276,2597845,3117414,3636983,4156552,4676121,5195691,5715260,6234829,6754398,7273967,7793536,8313105,8832674,9352243,9871812,10391382
size=9,#expl.,5426976,13034233,17233012,18738395,22146964,28981792,35398387,37367360,38706034,40335154,41588285,42632231,44101103,45537407,46750744,47797291,48795802,49722811,50642296,51460480
,%expl.,10.55,25.33,33.49,36.41,43.04,56.32,68.79,72.61,75.22,78.38,80.82,82.84,85.7,88.49,90.85,92.88,94.82,96.62,98.41,100.0
HA,#valid,5575550,11151101,16726652,22302203,27877753,33453304,39028855,44604406,50179956,55755507,61331058,66906609,72482159,78057710,83633261,89208812,94784362,100359913,105935464,111511015
size=10,#expl.,67424235,161576996,175480425,188294358,235756269,310977950,382920533,408418102,424846675,443936772,459144997,472350436,490098073,507106988,521960841,535117436,547898372,559917204,571724983,583317405
,%expl.,11.56,27.7,30.08,32.28,40.42,53.31,65.65,70.02,72.83,76.11,78.71,80.98,84.02,86.94,89.48,91.74,93.93,95.99,98.01,100.0
SLL,#valid,2,5,7,10,13,15,18,20,23,26,28,31,33,36,39,41,44,46,49,52
size=5,#expl.,34,62,89,117,145,159,198,219,247,281,295,323,344,378,399,420,448,462,490,511
,%expl.,6.56,11.97,17.18,22.59,27.99,30.69,38.22,42.28,47.68,54.25,56.95,62.36,66.41,72.97,77.03,81.08,86.49,89.19,94.59,98.65
SLL,#valid,1057,2114,3172,4229,5286,6344,7401,8458,9516,10573,11630,12688,13745,14802,15860,16917,17974,19032,20089,21147
size=9,#expl.,15279,30265,44933,59221,74258,88925,103095,118245,132891,147188,161807,176044,190640,204911,219455,233578,247621,261745,275659,289313
,%expl.,5.28,10.46,15.53,20.47,25.67,30.74,35.63,40.87,45.93,50.87,55.93,60.85,65.89,70.82,75.85,80.73,85.59,90.47,95.28,100.0
SLL,#valid,5798,11597,17396,23195,28993,34792,40591,46390,52188,57987,63786,69585,75383,81182,86981,92780,98578,104377,110176,115975
size=10,#expl.,88808,176112,261865,347293,434481,520178,605772,692778,778392,863343,948505,1033582,1118217,1204180,1287979,1371727,1455439,1539037,1621024,1702159
,%expl.,5.22,10.35,15.38,20.4,25.53,30.56,35.59,40.7,45.73,50.72,55.72,60.72,65.69,70.74,75.67,80.59,85.5,90.42,95.23,100.0
FH,#valid,2614,5228,7842,10456,13070,15684,18298,20912,23526,26140,28754,31368,33982,36596,39210,41824,44438,47052,49666,52281
size=5,#expl.,9543,21352,31762,39338,43721,47907,53338,57920,65532,77564,83057,88601,97356,104494,112978,122978,135060,142802,151935,164194
,%expl.,5.81,12.99,19.32,23.93,26.6,29.15,32.45,35.24,39.87,47.19,50.53,53.91,59.23,63.57,68.74,74.82,82.17,86.88,92.44,99.9
FH,#valid,73709,147418,221127,294837,368546,442255,515965,589674,663383,737093,810802,884511,958220,1031930,1105639,1179348,1253058,1326767,1400476,1474186
size=6,#expl.,373345,770000,1006848,1166246,1279124,1417100,1532668,1706702,2072732,2242833,2389018,2674269,2864461,3133203,3431439,3703533,3966138,4236464,4512471,4809035
,%expl.,7.76,16.01,20.94,24.25,26.6,29.47,31.87,35.49,43.1,46.64,49.68,55.61,59.56,65.15,71.35,77.01,82.47,88.09,93.83,99.99
FH,#valid,2484913,4969827,7454740,9939654,12424568,14909481,17394395,19879308,22364222,24849136,27334049,29818963,32303876,34788790,37273704,39758617,42243531,44728444,47213358,49698272
size=7,#expl.,15295876,28692042,36582646,40692787,44727153,49513600,53452564,66587703,73903884,78657006,88171917,94225839,103951122,115018249,125363893,137150041,144482968,155239447,165542828,175980565
,%expl.,8.69,16.3,20.79,23.12,25.42,28.14,30.37,37.84,42.0,44.7,50.1,53.54,59.07,65.36,71.24,77.93,82.1,88.21,94.07,100.0
BST,#valid,2,4,6,8,10,12,14,16,18,21,23,25,27,29,31,33,35,37,39,42
size=5,#expl.,169,468,780,1079,1354,1622,1923,2273,2572,3027,3326,3583,3874,4116,4415,4690,5006,5283,5608,6043
,%expl.,2.75,7.6,12.67,17.53,22.0,26.35,31.24,36.93,41.79,49.18,54.04,58.21,62.94,66.87,71.73,76.2,81.33,85.83,91.11,98.18
BST,#valid,243,486,729,972,1215,1458,1701,1944,2187,2431,2674,2917,3160,3403,3646,3889,4132,4375,4618,4862
size=9,#expl.,999959,2004641,3007817,4010758,5014761,6020877,7024399,8029120,9032680,10040111,11043562,12046026,13049202,14054159,15056962,16062745,17065532,18069157,19073110,20082478
,%expl.,4.98,9.98,14.97,19.97,24.97,29.98,34.97,39.97,44.97,49.98,54.98,59.97,64.97,69.97,74.96,79.97,84.96,89.96,94.96,99.98
BST,#valid,839,1679,2519,3359,4199,5038,5878,6718,7558,8398,9237,10077,10917,11757,12597,13436,14276,15116,15956,16796
size=10,#expl.,7756352,15532199,23305329,31078649,38851795,46623478,54396852,62172900,69946540,77718574,85484088,93254564,101029217,108803591,116577278,124346904,132118241,139894049,147669346,155447257
,%expl.,4.99,9.99,14.99,19.99,24.99,29.99,34.99,39.99,44.99,49.99,54.99,59.99,64.99,69.99,74.99,79.99,84.99,89.99,94.99,99.99
